,SC,GPDM,SSDATE,GPLB
250,0,000695,19970218,深市主板A股
251,0,000697,19970325,深市主板A股
252,0,000698,19970220,深市主板A股
253,0,000700,19970228,深市主板A股
254,0,000701,19970226,深市主板A股
255,0,000702,19970318,深市主板A股
256,0,000703,19970328,深市主板A股
257,0,000705,19970410,深市主板A股
258,0,000707,19970415,深市主板A股
259,0,000708,19970326,深市主板A股
260,0,000709,19970416,深市主板A股
261,0,000710,19970422,深市主板A股
262,0,000711,19970411,深市主板A股
263,0,000712,19970415,深市主板A股
264,0,000713,19970422,深市主板A股
265,0,000715,19970508,深市主板A股
266,0,000716,19970418,深市主板A股
267,0,000717,19970508,深市主板A股
268,0,000718,19970408,深市主板A股
269,0,000719,19970331,深市主板A股
270,0,000720,19970509,深市主板A股
271,0,000721,19970430,深市主板A股
272,0,000722,19970522,深市主板A股
273,0,000723,19970515,深市主板A股
274,0,000725,20010112,深市主板A股
275,0,000726,20001225,深市主板A股
276,0,000727,19970520,深市主板A股
277,0,000728,19970616,深市主板A股
278,0,000729,19970716,深市主板A股
279,0,000731,19970617,深市主板A股
280,0,000732,19970704,深市主板A股
281,0,000733,19970703,深市主板A股
282,0,000735,19970611,深市主板A股
283,0,000736,19970425,深市主板A股
284,0,000737,19970428,深市主板A股
285,0,000738,19970626,深市主板A股
286,0,000739,19970509,深市主板A股
287,0,000748,19970704,深市主板A股
288,0,000750,19970709,深市主板A股
289,0,000752,19970625,深市主板A股
290,0,000753,19970626,深市主板A股
291,0,000755,19970627,深市主板A股
292,0,000756,19970806,深市主板A股
293,0,000757,19970627,深市主板A股
294,0,000758,19970416,深市主板A股
295,0,000759,19970519,深市主板A股
296,0,000760,19970627,深市主板A股
297,0,000761,19980115,深市主板A股
298,0,000762,19970708,深市主板A股
299,0,000766,19970430,深市主板A股
300,0,000767,19970609,深市主板A股
301,0,000768,19970626,深市主板A股
302,0,000776,19970611,深市主板A股
303,0,000777,19970710,深市主板A股
304,0,000778,19970606,深市主板A股
305,0,000779,19970528,深市主板A股
306,0,000780,19970606,深市主板A股
307,0,000782,19970619,深市主板A股
308,0,000783,19970731,深市主板A股
309,0,000785,19970711,深市主板A股
310,0,000786,19970606,深市主板A股
311,0,000788,19970616,深市主板A股
312,0,000789,19970923,深市主板A股
313,0,000790,19980327,深市主板A股
314,0,000791,19971014,深市主板A股
315,0,000792,19970904,深市主板A股
316,0,000793,19970729,深市主板A股
317,0,000795,19970808,深市主板A股
318,0,000796,19970703,深市主板A股
319,0,000797,19970715,深市主板A股
320,0,000798,19980212,深市主板A股
321,0,000799,19970718,深市主板A股
322,0,000800,19970618,深市主板A股
323,0,000801,19980506,深市主板A股
324,0,000802,19980108,深市主板A股
325,0,000803,19980303,深市主板A股
326,0,000806,19980416,深市主板A股
327,0,000807,19980408,深市主板A股
328,0,000809,19980616,深市主板A股
329,0,000810,19980602,深市主板A股
330,0,000811,19980528,深市主板A股
331,0,000812,19980623,深市主板A股
332,0,000813,19980519,深市主板A股
333,0,000815,19980609,深市主板A股
334,0,000816,19970818,深市主板A股
335,0,000818,19971017,深市主板A股
336,0,000819,19970625,深市主板A股
337,0,000820,19980630,深市主板A股
338,0,000821,19980626,深市主板A股
339,0,000822,19980703,深市主板A股
340,0,000823,19971008,深市主板A股
341,0,000825,19981021,深市主板A股
342,0,000826,19980225,深市主板A股
343,0,000828,19970617,深市主板A股
344,0,000829,19971202,深市主板A股
345,0,000830,19980807,深市主板A股
346,0,000831,19980911,深市主板A股
347,0,000833,19981111,深市主板A股
348,0,000835,19990625,深市主板A股
349,0,000836,19970929,深市主板A股
350,0,000837,19980928,深市主板A股
351,0,000838,19970626,深市主板A股
352,0,000839,19971031,深市主板A股
353,0,000848,19971113,深市主板A股
354,0,000850,19981007,深市主板A股
355,0,000851,19980609,深市主板A股
356,0,000852,19981126,深市主板A股
357,0,000856,19980813,深市主板A股
358,0,000858,19980427,深市主板A股
359,0,000859,19981119,深市主板A股
360,0,000860,19981104,深市主板A股
361,0,000861,19981028,深市主板A股
362,0,000862,19980915,深市主板A股
363,0,000863,19970925,深市主板A股
364,0,000868,19970725,深市主板A股
365,0,000869,20001026,深市主板A股
366,0,000875,20020926,深市主板A股
367,0,000876,19980311,深市主板A股
368,0,000877,19990107,深市主板A股
369,0,000878,19980602,深市主板A股
370,0,000880,19980402,深市主板A股
371,0,000881,19980902,深市主板A股
372,0,000882,19980616,深市主板A股
373,0,000883,19980519,深市主板A股
374,0,000885,19990319,深市主板A股
375,0,000886,19980123,深市主板A股
376,0,000887,19981203,深市主板A股
377,0,000888,19971021,深市主板A股
378,0,000889,19971218,深市主板A股
379,0,000890,19990119,深市主板A股
380,0,000892,19990115,深市主板A股
381,0,000893,19981224,深市主板A股
382,0,000895,19981210,深市主板A股
383,0,000897,19990422,深市主板A股
384,0,000898,19971225,深市主板A股
385,0,000899,19971126,深市主板A股
386,0,000900,19990128,深市主板A股
387,0,000901,19990401,深市主板A股
388,0,000902,19990408,深市主板A股
389,0,000903,19990415,深市主板A股
390,0,000905,19990429,深市主板A股
391,0,000906,19990707,深市主板A股
392,0,000908,19990203,深市主板A股
393,0,000909,19990507,深市主板A股
394,0,000910,19990630,深市主板A股
395,0,000911,19990527,深市主板A股
396,0,000912,19990603,深市主板A股
397,0,000913,19990514,深市主板A股
398,0,000915,19990609,深市主板A股
399,0,000916,19990927,深市主板A股
400,0,000917,19990325,深市主板A股
401,0,000918,19990720,深市主板A股
402,0,000919,19991118,深市主板A股
403,0,000920,19990616,深市主板A股
404,0,000921,19990713,深市主板A股
405,0,000922,19990618,深市主板A股
406,0,000923,19990714,深市主板A股
407,0,000925,19990611,深市主板A股
408,0,000926,19990618,深市主板A股
409,0,000927,19990727,深市主板A股
410,0,000928,19990312,深市主板A股
